timestamp, input_file, master_file, added_count, total_after
11-08-2025 13:22:19,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2008 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 5570
11-08-2025 13:22:27,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2008 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 0, 5570
11-08-2025 13:22:27,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2009 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 11140
11-08-2025 13:22:27,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2010 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 16710
11-08-2025 13:22:27,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2011 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 22280
11-08-2025 13:22:27,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2012 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 27850
11-08-2025 13:22:28,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2013 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 33420
11-08-2025 13:22:28,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2014 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 38990
11-08-2025 13:22:28,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2015 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 44560
11-08-2025 13:22:28,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2016 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 50130
11-08-2025 13:22:29,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2017 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 55700
11-08-2025 13:22:29,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2018 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 61270
11-08-2025 13:22:29,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2019 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 66840
11-08-2025 13:22:30,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2020 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 72410
11-08-2025 13:22:30,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/masculino/adolescentes masculino 2021 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 77980
11-08-2025 13:22:38,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2008 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 83550
11-08-2025 13:22:39,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2009 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 89120
11-08-2025 13:22:39,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2010 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 94690
